epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,23332.3,1.00138,2.77859,0.9641,0.49582,0.05716,0.03991,0.03055,1.02024,2.70644,0.97346,1.33677e-05,1.33677e-05,1.33677e-05
53,23719,0.98744,2.75632,0.95019,0.51723,0.0541,0.04103,0.03141,1.00937,2.70851,0.96757,1.31004e-05,1.31004e-05,1.31004e-05
54,24107.6,0.99597,2.73687,0.95504,0.51617,0.06027,0.04148,0.0316,1.02442,2.70181,0.97269,1.28331e-05,1.28331e-05,1.28331e-05
55,24493.3,0.98788,2.75645,0.94872,0.49802,0.05992,0.04235,0.03231,1.01757,2.69313,0.96998,1.25658e-05,1.25658e-05,1.25658e-05
56,24882.2,0.98927,2.73498,0.95093,0.51726,0.05973,0.04233,0.03249,1.00414,2.67538,0.96622,1.22985e-05,1.22985e-05,1.22985e-05
57,25268.5,0.98828,2.72696,0.95176,0.51489,0.05915,0.04342,0.03327,1.00535,2.67175,0.96765,1.20312e-05,1.20312e-05,1.20312e-05
58,25656.1,0.98663,2.71347,0.95019,0.53816,0.05834,0.04315,0.03282,1.01442,2.6641,0.96813,1.17639e-05,1.17639e-05,1.17639e-05
59,26044.1,0.98041,2.71886,0.9517,0.51519,0.06478,0.04344,0.03328,1.00698,2.65841,0.96717,1.14966e-05,1.14966e-05,1.14966e-05
60,26433.3,0.98884,2.71748,0.95179,0.53368,0.05469,0.04422,0.03377,1.01448,2.65665,0.96951,1.12293e-05,1.12293e-05,1.12293e-05
61,26821.8,0.98535,2.69804,0.95666,0.51022,0.06494,0.04431,0.03413,1.00282,2.65235,0.96693,1.0962e-05,1.0962e-05,1.0962e-05
62,27210.5,0.97813,2.69555,0.95261,0.51674,0.07006,0.04544,0.03481,1.01409,2.64527,0.96834,1.06947e-05,1.06947e-05,1.06947e-05
63,27596.4,0.98353,2.70116,0.96046,0.51572,0.06806,0.04494,0.03444,1.01084,2.64038,0.96972,1.04274e-05,1.04274e-05,1.04274e-05
64,27984,0.99271,2.68029,0.95186,0.51885,0.07064,0.04653,0.03579,1.00993,2.63245,0.96746,1.01601e-05,1.01601e-05,1.01601e-05
65,28371,0.97751,2.67535,0.94938,0.50237,0.07189,0.04646,0.03557,1.01038,2.62462,0.96674,9.8928e-06,9.8928e-06,9.8928e-06
66,28760.6,0.97292,2.66062,0.95258,0.52682,0.07089,0.04745,0.03634,1.00547,2.6207,0.96875,9.6255e-06,9.6255e-06,9.6255e-06
67,29154.4,0.9953,2.65938,0.95328,0.5116,0.07102,0.04679,0.03569,1.00748,2.61577,0.96824,9.3582e-06,9.3582e-06,9.3582e-06
68,29547.6,0.98997,2.69228,0.95161,0.50551,0.07367,0.04705,0.03612,0.999,2.60808,0.96642,9.0909e-06,9.0909e-06,9.0909e-06
69,29940.9,0.98536,2.64216,0.9467,0.4976,0.07126,0.04744,0.03613,1.01186,2.61225,0.96844,8.8236e-06,8.8236e-06,8.8236e-06
70,30334.9,0.98515,2.6576,0.95143,0.4934,0.07478,0.04825,0.03691,1.00053,2.60207,0.96581,8.5563e-06,8.5563e-06,8.5563e-06
71,30729,0.9836,2.65476,0.95877,0.48425,0.07425,0.04845,0.03708,1.012,2.59732,0.9698,8.289e-06,8.289e-06,8.289e-06
72,31145.9,0.97919,2.65144,0.95203,0.51977,0.07079,0.04926,0.03774,1.00734,2.58845,0.96805,8.0217e-06,8.0217e-06,8.0217e-06
73,31611.9,0.98168,2.65055,0.95037,0.51114,0.07488,0.05039,0.03879,0.99872,2.60019,0.965,7.7544e-06,7.7544e-06,7.7544e-06
74,32090.4,0.9757,2.64303,0.95344,0.4944,0.0742,0.04906,0.03761,1.01424,2.59512,0.96942,7.4871e-06,7.4871e-06,7.4871e-06
75,32570.5,0.97966,2.65622,0.9474,0.49977,0.07166,0.05109,0.03932,1.00439,2.59043,0.96514,7.2198e-06,7.2198e-06,7.2198e-06
76,33038.4,0.97035,2.65776,0.94869,0.5065,0.07117,0.05084,0.03905,1.00066,2.59581,0.9636,6.9525e-06,6.9525e-06,6.9525e-06
77,33433.5,0.97578,2.62266,0.94955,0.4929,0.07483,0.05033,0.03856,1.00779,2.57666,0.96725,6.6852e-06,6.6852e-06,6.6852e-06
78,33838.7,0.95612,2.63273,0.94765,0.49135,0.07479,0.04998,0.03841,1.0027,2.58316,0.96731,6.4179e-06,6.4179e-06,6.4179e-06
